Q,CC,MaxCC
0.963,1,500500
0.964,1,500500
0.965,1,500500
0.966,1,500500
0.967,1,500500
0.968,1,500500
0.969,1,500500
0.97,1,500500
0.971,1,500500
0.972,1,500500
0.973,1,500500
0.974,1,500500
0.975,1,500500
0.976,1,500500
0.977,1,500500
0.978,1,500500
0.979,1,500500
0.98,1,500500
0.981,1,500500
0.982,1,500500
0.983,1,500500
0.984,1,500500
0.985,1,500500
0.986,1,500500
0.987,1,500500
0.988,1,500500
0.989,1,500500
0.99,1,500500
0.991,1,500500
0.992,1,500500
0.993,1,500500
0.994,1,500500
0.995,1,500500
0.996,1,500500
0.997,1,500500
0.998,1,500500
0.999,1,500500
1,1,500500
