Q,CC,MaxCC
0.47,80225,239
0.471,78875,319
0.472,78679,316
0.473,77218,283
0.474,77785,260
0.475,76837,365
0.476,76324,334
0.477,75721,391
0.478,76046,463
0.479,76035,424
0.48,75812,354
0.481,74208,530
0.482,73995,476
0.483,73613,416
0.484,72631,365
0.485,72789,444
0.486,72874,474
0.487,71991,511
0.488,71908,348
0.489,70944,468
0.49,70608,565
0.491,69977,479
0.492,70294,352
0.493,68969,534
0.494,69040,441
0.495,68432,490
0.496,68204,474
0.497,67683,641
0.498,67006,559
0.499,66878,468
0.5,66299,478
0.501,66231,451
0.502,65655,626
0.503,64587,563
0.504,64778,558
0.505,64006,684
0.506,63280,775
0.507,62132,540
0.508,62530,705
0.509,62149,693
0.51,62145,803
0.511,61350,965
0.512,61503,968
0.513,60976,734
0.514,60044,662
0.515,59105,726
0.516,58579,930
0.517,58508,1008
0.518,58011,852
0.519,57839,855
0.52,57461,952
0.521,56354,1628
0.522,56296,1223
0.523,56132,990
0.524,55484,1358
0.525,54839,1165
0.526,54624,1036
0.527,53196,1034
0.528,53914,985
0.529,53120,1032
0.53,53034,1032
0.531,52428,1362
0.532,52031,1480
0.533,51674,1256
0.534,50731,1818
0.535,50610,1238
0.536,50286,1355
0.537,49573,2094
0.538,49639,1962
0.539,49101,1951
0.54,47916,2118
0.541,47972,1695
0.542,47634,1874
0.543,47414,1643
0.544,46751,1631
0.545,46061,1971
0.546,45991,2132
0.547,45069,1959
0.548,45583,3168
0.549,44922,2109
0.55,43718,2853
0.551,44010,2582
0.552,43494,3169
0.553,42744,4563
0.554,42280,2482
0.555,41789,3211
0.556,41617,3823
0.557,41392,3657
0.558,40948,3380
0.559,40328,6099
0.56,40595,3364
0.561,39719,5302
0.562,39441,4687
0.563,38871,4768
0.564,38185,4967
0.565,37996,6015
0.566,37556,8537
0.567,36961,13611
0.568,37297,5685
0.569,36239,9894
0.57,36181,8758
0.571,35671,9285
0.572,35450,6863
0.573,35171,12121
0.574,34508,11317
0.575,34218,16984
0.576,33976,11558
0.577,33470,20455
0.578,33425,23652
0.579,32510,30818
0.58,32588,24721
0.581,32557,37895
0.582,31992,27003
0.583,31560,43017
0.584,30884,44160
0.585,29809,43416
0.586,30066,86194
0.587,29916,40953
0.588,29241,44373
0.589,28978,28766
0.59,28424,100383
0.591,28670,111872
0.592,27863,214902
0.593,27582,87706
0.594,27711,185198
0.595,27154,335295
0.596,27168,143511
0.597,26901,382916
0.598,26031,406887
0.599,25916,414955
0.6,25571,400978
0.601,25474,432563
0.602,24991,450822
0.603,24784,457582
0.604,24919,471246
0.605,24417,458242
0.606,24090,480714
0.607,23572,490918
0.608,23459,502162
0.609,22927,486093
0.61,22820,511572
0.611,22584,514409
0.612,22335,518608
0.613,22118,529278
0.614,21665,531620
0.615,21463,531147
0.616,21093,535340
0.617,21015,538180
0.618,21007,539085
0.619,20591,543131
0.62,20544,547846
0.621,19621,550870
0.622,19984,551993
0.623,19535,557790
0.624,19637,556585
0.625,19415,562046
0.626,19138,564852
0.627,18888,569180
0.628,18176,570989
0.629,18160,572796
0.63,17826,578843
0.631,17955,578256
0.632,17565,577424
0.633,17354,583550
0.634,17000,585660
0.635,17144,587706
0.636,16940,588050
0.637,16554,592876
0.638,16263,593363
0.639,16259,596522
0.64,15808,599437
0.641,15958,599458
0.642,15808,600882
0.643,15258,604158
0.644,15196,604137
0.645,15018,607440
0.646,14684,610702
0.647,14517,611884
0.648,14597,612911
0.649,14121,617210
0.65,14129,617581
0.651,14073,616891
0.652,13936,617688
0.653,13461,621321
0.654,13591,622974
0.655,13139,624487
0.656,13273,625957
0.657,12854,628399
