Q,CC,MaxCC
0.653,17742,976694
0.654,17850,976636
0.655,17394,977288
0.656,17560,977045
0.657,16980,977688
0.658,16784,978144
0.659,16648,978326
0.66,16376,978675
0.661,16191,978848
0.662,16218,978839
0.663,15597,979785
0.664,15760,979846
0.665,15297,980470
0.666,15249,980337
0.667,14867,981012
0.668,15088,980800
0.669,14732,981116
0.67,14638,981329
0.671,14242,981798
0.672,13837,982622
0.673,13699,982648
0.674,13643,982581
0.675,13565,982707
0.676,13382,983129
0.677,13152,983458
0.678,12941,983729
0.679,12831,983819
0.68,12780,983954
0.681,12316,984605
0.682,12291,984721
0.683,12043,984939
0.684,12048,985023
0.685,11640,985396
0.686,11613,985664
0.687,11596,985690
0.688,11273,986093
0.689,11146,986245
0.69,10951,986424
0.691,10761,986821
0.692,10717,986827
0.693,10445,987132
0.694,10486,987039
0.695,10278,987448
0.696,9997,987789
0.697,10095,987747
0.698,9928,988063
0.699,9583,988251
0.7,9618,988336
0.701,9471,988468
0.702,9389,988594
0.703,9110,988882
0.704,8757,989457
0.705,8945,989265
0.706,8688,989619
0.707,8631,989606
0.708,8292,990030
0.709,8306,990145
0.71,8243,990261
0.711,8057,990424
0.712,7857,990675
0.713,7909,990682
0.714,7819,990791
0.715,7608,990994
0.716,7786,990847
0.717,7398,991332
0.718,7385,991332
0.719,7123,991584
0.72,7261,991401
0.721,7062,991673
0.722,6927,991879
0.723,6757,992119
0.724,6849,991924
0.725,6635,992196
0.726,6486,992450
0.727,6334,992618
0.728,6408,992511
0.729,6124,992906
0.73,6072,992906
0.731,5855,993252
0.732,5956,993075
0.733,5859,993261
0.734,5838,993224
0.735,5720,993374
0.736,5598,993482
0.737,5314,993805
0.738,5312,993898
0.739,5373,993844
0.74,5216,993954
0.741,5068,994257
0.742,4961,994281
0.743,4988,994272
0.744,4989,994281
0.745,4822,994504
0.746,4764,994575
0.747,4539,994782
0.748,4652,994685
0.749,4364,995063
0.75,4434,994931
0.751,4384,994993
0.752,4311,995122
0.753,4229,995200
0.754,4159,995317
0.755,4150,995236
0.756,3968,995491
0.757,3913,995621
0.758,3903,995648
0.759,3890,995579
0.76,3558,996022
0.761,3576,995966
0.762,3578,995956
0.763,3559,995990
0.764,3503,996069
0.765,3503,996108
0.766,3391,996211
0.767,3263,996320
0.768,3198,996433
0.769,3139,996508
0.77,3131,996512
0.771,3091,996590
0.772,3005,996657
0.773,2972,996717
0.774,2879,996800
0.775,2833,996846
0.776,2790,996937
0.777,2826,996856
0.778,2613,997136
0.779,2614,997091
0.78,2524,997203
0.781,2591,997145
0.782,2522,997208
0.783,2453,997275
0.784,2410,997327
0.785,2397,997380
0.786,2259,997551
0.787,2255,997508
0.788,2275,997484
0.789,2216,997580
0.79,2176,997606
0.791,2164,997646
0.792,2089,997735
0.793,2009,997794
0.794,1988,997825
0.795,1878,997971
0.796,1898,997937
0.797,1819,998038
0.798,1810,998006
0.799,1709,998174
0.8,1743,998124
0.801,1722,998139
0.802,1746,998098
0.803,1684,998177
0.804,1607,998240
0.805,1559,998306
0.806,1521,998354
0.807,1517,998363
0.808,1418,998462
0.809,1455,998425
0.81,1393,998492
0.811,1469,998421
0.812,1419,998491
0.813,1261,998656
0.814,1294,998632
0.815,1274,998614
0.816,1288,998633
0.817,1163,998766
0.818,1270,998658
0.819,1136,998796
0.82,1189,998746
0.821,1133,998807
0.822,1157,998763
0.823,1009,998919
0.824,1042,998889
0.825,1063,998873
0.826,1005,998933
0.827,1026,998922
0.828,901,999049
0.829,972,998982
0.83,919,999021
0.831,865,999090
0.832,879,999079
0.833,798,999158
0.834,856,999113
0.835,863,999093
0.836,782,999178
0.837,753,999208
0.838,704,999257
0.839,768,999188
0.84,647,999317
0.841,735,999234
0.842,639,999328
0.843,651,999316
0.844,627,999338
0.845,599,999374
0.846,640,999333
0.847,590,999385
0.848,531,999437
0.849,570,999407
0.85,563,999408
0.851,563,999414
0.852,517,999458
0.853,488,999490
0.854,456,999527
0.855,452,999524
0.856,448,999533
0.857,469,999516
0.858,424,999561
0.859,424,999559
0.86,402,999582
0.861,401,999581
0.862,374,999607
0.863,387,999601
0.864,357,999631
0.865,341,999647
0.866,352,999639
0.867,312,999670
0.868,353,999636
0.869,290,999709
0.87,322,999662
0.871,278,999711
0.872,302,999692
0.873,280,999711
0.874,288,999700
0.875,261,999725
0.876,241,999752
0.877,242,999754
0.878,240,999754
0.879,229,999767
0.88,218,999776
0.881,193,999804
0.882,196,999795
0.883,200,999797
0.884,201,999797
0.885,183,999813
0.886,189,999807
0.887,184,999811
0.888,157,999839
0.889,175,999821
0.89,152,999845
0.891,143,999857
0.892,154,999840
0.893,118,999878
0.894,128,999870
0.895,151,999845
0.896,112,999888
0.897,138,999859
0.898,104,999896
0.899,113,999885
0.9,96,999898
0.901,115,999884
0.902,113,999884
0.903,91,999909
0.904,95,999905
0.905,94,999905
0.906,86,999915
0.907,94,999906
0.908,71,999930
0.909,71,999926
0.91,61,999940
0.911,75,999923
0.912,70,999930
0.913,69,999931
0.914,69,999931
0.915,55,999946
0.916,43,999957
0.917,52,999948
0.918,53,999947
0.919,44,999957
0.92,50,999949
0.921,33,999968
0.922,40,999961
0.923,28,999973
0.924,54,999945
0.925,34,999967
0.926,22,999979
0.927,25,999976
0.928,34,999967
0.929,20,999981
0.93,24,999977
0.931,27,999974
0.932,40,999961
0.933,18,999982
0.934,16,999984
0.935,25,999976
0.936,20,999981
0.937,17,999984
0.938,23,999978
0.939,16,999985
0.94,14,999986
0.941,14,999986
0.942,13,999988
0.943,11,999990
0.944,13,999988
0.945,10,999991
0.946,8,999992
0.947,10,999991
0.948,13,999988
0.949,6,999995
0.95,8,999993
0.951,10,999991
0.952,7,999994
0.953,3,999998
0.954,7,999994
0.955,6,999995
